
2024/04/13 (18:55:35) | ===> btop++ v.1.3.2
2024/04/13 (18:55:35) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/13 (19:00:54) | ===> btop++ v.1.3.2
2024/04/13 (19:00:54) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/13 (19:07:55) | ===> btop++ v.1.3.2
2024/04/13 (19:07:55) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/13 (19:09:37) | ===> btop++ v.1.3.2
2024/04/13 (19:09:37) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/14 (22:55:23) | ===> btop++ v.1.3.2
2024/04/14 (22:55:23) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/14 (23:08:39) | ===> btop++ v.1.3.2
2024/04/14 (23:08:39) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/14 (23:12:21) | ===> btop++ v.1.3.2
2024/04/14 (23:12:21) | WARNING: Failed to set locale UTF-8 continuing anyway.
